"state","area","total_votes","rep_votes","dem_votes","third_votes","other_votes","year","total_pop","white","black","asian","latino","other","pct_white","pct_black","pct_asian","pct_latino","pct_other","state_county","pct_white_1990"
"Alabama","AUTAUGA",20081,0.7567,0.2369,0,0.0063,2004,55221,41848,10315,534,1440,1084,0.757827638,0.186794879,0.009670234,0.026077036,0.019630213,"Alabama AUTAUGA",0.793173982
"Alabama","AUTAUGA",23973,0.7249,0.2654,0.0057,0.0039,2012,55221,41848,10315,534,1440,1084,0.757827638,0.186794879,0.009670234,0.026077036,0.019630213,"Alabama AUTAUGA",0.793173982
"Alabama","AUTAUGA",15422,0.6166,0.3252,0.0527,0.0055,1996,55221,41848,10315,534,1440,1084,0.757827638,0.186794879,0.009670234,0.026077036,0.019630213,"Alabama AUTAUGA",0.793173982
"Alabama","AUTAUGA",23641,0.7361,0.2577,0,0.0061,2008,55221,41848,10315,534,1440,1084,0.757827638,0.186794879,0.009670234,0.026077036,0.019630213,"Alabama AUTAUGA",0.793173982
"Alabama","AUTAUGA",17208,0.6969,0.2872,0.0093,0.0066,2000,55221,41848,10315,534,1440,1084,0.757827638,0.186794879,0.009670234,0.026077036,0.019630213,"Alabama AUTAUGA",0.793173982
"Alabama","AUTAUGA",15585,0.5592,0.3092,0.1229,0.0087,1992,55221,41848,10315,534,1440,1084,0.757827638,0.186794879,0.009670234,0.026077036,0.019630213,"Alabama AUTAUGA",0.793173982
"Alabama","AUTAUGA",24661,0.734357893,0.23956855,0.026073557,NA,2016,55221,41848,10315,534,1440,1084,0.757827638,0.186794879,0.009670234,0.026077036,0.019630213,"Alabama AUTAUGA",0.793173982
"Alabama","BALDWIN",56480,0.7237,0.2478,0.0183,0.0102,2000,195121,162153,18735,1307,8776,4150,0.831038176,0.096017343,0.006698408,0.044977219,0.021268854,"Alabama BALDWIN",0.860449735
"Alabama","BALDWIN",94090,0.77351472,0.195653098,0.030832182,NA,2016,195121,162153,18735,1307,8776,4150,0.831038176,0.096017343,0.006698408,0.044977219,0.021268854,"Alabama BALDWIN",0.860449735
"Alabama","BALDWIN",85491,0.7722,0.2155,0.0071,0.0052,2012,195121,162153,18735,1307,8776,4150,0.831038176,0.096017343,0.006698408,0.044977219,0.021268854,"Alabama BALDWIN",0.860449735
"Alabama","BALDWIN",46476,0.5652,0.2624,0.1647,0.0076,1992,195121,162153,18735,1307,8776,4150,0.831038176,0.096017343,0.006698408,0.044977219,0.021268854,"Alabama BALDWIN",0.860449735
"Alabama","BALDWIN",69320,0.7642,0.225,0,0.0108,2004,195121,162153,18735,1307,8776,4150,0.831038176,0.096017343,0.006698408,0.044977219,0.021268854,"Alabama BALDWIN",0.860449735
"Alabama","BALDWIN",81413,0.7526,0.2381,0,0.0093,2008,195121,162153,18735,1307,8776,4150,0.831038176,0.096017343,0.006698408,0.044977219,0.021268854,"Alabama BALDWIN",0.860449735
"Alabama","BALDWIN",47119,0.6258,0.2711,0.0959,0.0071,1996,195121,162153,18735,1307,8776,4150,0.831038176,0.096017343,0.006698408,0.044977219,0.021268854,"Alabama BALDWIN",0.860449735
"Alabama","BARBOUR",11517,0.4819,0.5133,0.0028,0.002,2012,26932,12454,12595,244,1241,398,0.462423882,0.46765929,0.009059854,0.046079014,0.014777959,"Alabama BARBOUR",0.55545501
"Alabama","BARBOUR",11630,0.5044,0.4899,0,0.0058,2008,26932,12454,12595,244,1241,398,0.462423882,0.46765929,0.009059854,0.046079014,0.014777959,"Alabama BARBOUR",0.55545501
"Alabama","BARBOUR",8953,0.4051,0.5347,0.0575,0.0027,1996,26932,12454,12595,244,1241,398,0.462423882,0.46765929,0.009059854,0.046079014,0.014777959,"Alabama BARBOUR",0.55545501
"Alabama","BARBOUR",10390,0.522714148,0.466602502,0.0106833499999999,NA,2016,26932,12454,12595,244,1241,398,0.462423882,0.46765929,0.009059854,0.046079014,0.014777959,"Alabama BARBOUR",0.55545501
