"state","total_votes","rep_votes","dem_votes","third_votes","other_votes","year","county"
"Louisiana",26835,0.7427,0.2445,0.0054,0.0075,2012,"acadia"
"Louisiana",9307,0.6979,0.2812,0.0078,0.0131,2012,"allen"
"Louisiana",51073,0.6629,0.3201,0.0105,0.0065,2012,"ascension"
"Louisiana",10992,0.5534,0.4325,0.0064,0.0077,2012,"assumption"
"Louisiana",17032,0.6265,0.3568,0.0058,0.011,2012,"avoyelles"
"Louisiana",14225,0.7812,0.1988,0.0102,0.0098,2012,"beauregard"
"Louisiana",7203,0.5055,0.4845,0.0035,0.0065,2012,"bienville"
"Louisiana",48562,0.7205,0.2668,0.008,0.0047,2012,"bossier"
"Louisiana",111765,0.4694,0.5193,0.0068,0.0045,2012,"caddo"
"Louisiana",81726,0.6344,0.347,0.01,0.0086,2012,"calcasieu"
"Louisiana",4716,0.7718,0.2154,0.0038,0.0089,2012,"caldwell"
"Louisiana",3744,0.8707,0.109,0.0069,0.0134,2012,"cameron"
"Louisiana",4193,0.6544,0.3358,0.0036,0.0062,2012,"catahoula"
"Louisiana",6732,0.542,0.4477,0.003,0.0073,2012,"claiborne"
"Louisiana",9380,0.581,0.4086,0.0043,0.0061,2012,"concordia"
"Louisiana",13051,0.5634,0.4255,0.0052,0.0059,2012,"de soto"
"Louisiana",198171,0.4657,0.518,0.0099,0.0064,2012,"east baton rouge"
"Louisiana",4008,0.3762,0.6183,0.001,0.0045,2012,"east carroll"
"Louisiana",10209,0.5287,0.4553,0.0061,0.01,2012,"east feliciana"
"Louisiana",15770,0.6456,0.338,0.0059,0.0105,2012,"evangeline"
"Louisiana",9336,0.6742,0.3129,0.0064,0.0065,2012,"franklin"
"Louisiana",8667,0.8171,0.1641,0.0077,0.0111,2012,"grant"
"Louisiana",33397,0.6256,0.3633,0.0047,0.0064,2012,"iberia"
"Louisiana",17014,0.4274,0.5612,0.0046,0.0068,2012,"iberville"
"Louisiana",7529,0.6816,0.3061,0.0049,0.0073,2012,"jackson"
"Louisiana",176343,0.5815,0.3991,0.0122,0.0072,2012,"jefferson"
