state,area,total_votes,rep_votes,dem_votes,third_votes,other_votes,year
Alabama,AUTAUGA,15585,0.5592,0.3092,0.1229,0.0087,1992
Alabama,BALDWIN,46476,0.5652,0.2624,0.1647,0.0076,1992
Alabama,BARBOUR,10431,0.429,0.4636,0.0978,0.0096,1992
Alabama,BIBB,6720,0.4649,0.4315,0.1021,0.0015,1992
Alabama,BLOUNT,16505,0.5381,0.3292,0.1181,0.0146,1992
Alabama,BULLOCK,4816,0.2602,0.6767,0.0552,0.0079,1992
Alabama,BUTLER,8478,0.4121,0.4743,0.1023,0.0113,1992
Alabama,CALHOUN,42800,0.4818,0.3844,0.1102,0.0235,1992
Alabama,CHAMBERS,13091,0.434,0.4536,0.109,0.0034,1992
Alabama,CHEROKEE,7876,0.3485,0.5361,0.1074,0.008,1992
Alabama,CHILTON,14468,0.5617,0.3419,0.0942,0.0023,1992
Alabama,CHOCTAW,7560,0.406,0.5213,0.0647,0.0081,1992
Alabama,CLARKE,11717,0.469,0.4287,0.0744,0.0279,1992
Alabama,CLAY,5755,0.4968,0.3602,0.1133,0.0297,1992
Alabama,CLEBURNE,5237,0.4631,0.4094,0.1203,0.0073,1992
Alabama,COFFEE,15533,0.4887,0.3719,0.1301,0.0093,1992
Alabama,COLBERT,22439,0.3598,0.544,0.0935,0.0028,1992
Alabama,CONECUH,6307,0.3905,0.5002,0.0875,0.0217,1992
Alabama,COOSA,4798,0.4112,0.4856,0.0992,0.004,1992
Alabama,COVINGTON,13962,0.4899,0.3584,0.1347,0.017,1992
Alabama,CRENSHAW,5290,0.4422,0.4544,0.0917,0.0117,1992
Alabama,CULLMAN,29043,0.4962,0.3598,0.1416,0.0023,1992
Alabama,DALE,15787,0.5145,0.3229,0.1535,0.0091,1992
Alabama,DALLAS,19604,0.3772,0.5638,0.0566,0.0024,1992
Alabama,DEKALB,21585,0.4873,0.382,0.127,0.0037,1992
Alabama,ELMORE,20388,0.557,0.3052,0.1356,0.0022,1992
Alabama,ESCAMBIA,12824,0.4644,0.375,0.126,0.0346,1992
Alabama,ETOWAH,42451,0.4115,0.4843,0.1008,0.0035,1992
Alabama,FAYETTE,8470,0.4255,0.4522,0.1195,0.0028,1992
