"state","area","total_votes","rep_votes","dem_votes","third_votes","other_votes","year","total_pop","white","black","latino","non_white","pct_white","pct_black","pct_latino","pct_nonwhite","region"
"Alabama","AUTAUGA",15585,0.5592,0.3092,0.1229,0.0087,1992,34222,26997,6806,230,7225,0.788878499211034,0.198877914791654,0.00672082286248612,0.211121500788966,"South"
"Alabama","BALDWIN",46476,0.5652,0.2624,0.1647,0.0076,1992,98280,83800,12592,1022,14480,0.852665852665853,0.128123728123728,0.0103988603988604,0.147334147334147,"South"
"Alabama","BARBOUR",10431,0.429,0.4636,0.0978,0.0096,1992,25417,14054,11156,124,11363,0.552937010662155,0.438918833851359,0.00487862454262895,0.447062989337845,"South"
"Alabama","BIBB",6720,0.4649,0.4315,0.1021,0.0015,1992,16576,13033,3468,39,3543,0.786257239382239,0.209218146718147,0.00235279922779923,0.213742760617761,"South"
"Alabama","BLOUNT",16505,0.5381,0.3292,0.1181,0.0146,1992,39248,38275,519,286,973,0.975208927843457,0.0132236037505096,0.00728699551569507,0.024791072156543,"South"
"Alabama","BULLOCK",4816,0.2602,0.6767,0.0552,0.0079,1992,11042,3011,7948,65,8031,0.272686107589205,0.719797138199602,0.00588661474370585,0.727313892410795,"South"
"Alabama","BUTLER",8478,0.4121,0.4743,0.1023,0.0113,1992,21892,13001,8783,65,8891,0.593869906815275,0.401196784213411,0.00296912114014252,0.406130093184725,"South"
"Alabama","CALHOUN",42800,0.4818,0.3844,0.1102,0.0235,1992,116034,92154,21476,1282,23880,0.794198252236413,0.185083682368961,0.0110484857886482,0.205801747763587,"South"
"Alabama","CHAMBERS",13091,0.434,0.4536,0.109,0.0034,1992,36876,23510,13187,127,13366,0.637542032758434,0.357603861590194,0.00344397440069422,0.362457967241566,"South"
"Alabama","CHEROKEE",7876,0.3485,0.5361,0.1074,0.008,1992,19543,18118,1291,57,1425,0.927083866346006,0.0660594586296884,0.00291664534615975,0.0729161336539938,"South"
"Alabama","CHILTON",14468,0.5617,0.3419,0.0942,0.0023,1992,32458,28577,3664,116,3881,0.880430094275679,0.112884342843059,0.00357384928214924,0.119569905724321,"South"
"Alabama","CHOCTAW",7560,0.406,0.5213,0.0647,0.0081,1992,16018,8889,7052,53,7129,0.554938194531152,0.440254713447372,0.00330877762517168,0.445061805468848,"South"
"Alabama","CLARKE",11717,0.469,0.4287,0.0744,0.0279,1992,27240,15481,11572,103,11759,0.568318649045521,0.42481644640235,0.00378120411160059,0.431681350954479,"South"
"Alabama","CLAY",5755,0.4968,0.3602,0.1133,0.0297,1992,13252,11021,2166,27,2231,0.831648053124057,0.16344702686387,0.00203742831270752,0.168351946875943,"South"
"Alabama","CLEBURNE",5237,0.4631,0.4094,0.1203,0.0073,1992,12730,12072,587,38,658,0.948311076197958,0.0461115475255302,0.00298507462686567,0.0516889238020424,"South"
"Alabama","COFFEE",15533,0.4887,0.3719,0.1301,0.0093,1992,40240,32396,6903,471,7844,0.80506958250497,0.171545725646123,0.0117047713717694,0.19493041749503,"South"
"Alabama","COLBERT",22439,0.3598,0.544,0.0935,0.0028,1992,51666,42701,8545,187,8965,0.826481632021058,0.165389230828785,0.00361940154066504,0.173518367978942,"South"
"Alabama","CONECUH",6307,0.3905,0.5002,0.0875,0.0217,1992,14054,8026,5888,82,6028,0.571082965703714,0.41895545752099,0.0058346378255301,0.428917034296286,"South"
"Alabama","COOSA",4798,0.4112,0.4856,0.0992,0.004,1992,11063,7230,3776,18,3833,0.653529783964567,0.341317906535298,0.00162704510530597,0.346470216035433,"South"
"Alabama","COVINGTON",13962,0.4899,0.3584,0.1347,0.017,1992,36478,31460,4770,130,5018,0.862437633642195,0.130763748012501,0.00356379187455453,0.137562366357805,"South"
"Alabama","CRENSHAW",5290,0.4422,0.4544,0.0917,0.0117,1992,13635,10027,3542,30,3608,0.735386872020535,0.25977264393106,0.0022002200220022,0.264613127979465,"South"
"Alabama","CULLMAN",29043,0.4962,0.3598,0.1416,0.0023,1992,67613,66540,559,272,1073,0.98413027080591,0.00826764083830033,0.00402289500539837,0.0158697291940899,"South"
"Alabama","DALE",15787,0.5145,0.3229,0.1535,0.0091,1992,49633,38690,8767,1215,10943,0.779521689198719,0.176636511998066,0.024479680857494,0.220478310801281,"South"
"Alabama","DALLAS",19604,0.3772,0.5638,0.0566,0.0024,1992,48130,20054,27768,131,28076,0.416663203822979,0.576937461043008,0.00272179513816746,0.583336796177021,"South"
"Alabama","DEKALB",21585,0.4873,0.382,0.127,0.0037,1992,54651,52854,1023,215,1797,0.967118625459735,0.0187187791623209,0.00393405427165102,0.0328813745402646,"South"
"Alabama","ELMORE",20388,0.557,0.3052,0.1356,0.0022,1992,49210,37687,10995,270,11523,0.765840276366592,0.223430197114408,0.00548668969721601,0.234159723633408,"South"
"Alabama","ESCAMBIA",12824,0.4644,0.375,0.126,0.0346,1992,35518,24227,10015,169,11291,0.68210484824596,0.281969705501436,0.0047581507967791,0.31789515175404,"South"
"Alabama","ETOWAH",42451,0.4115,0.4843,0.1008,0.0035,1992,99840,85078,13782,331,14762,0.852143429487179,0.138040865384615,0.00331530448717949,0.147856570512821,"South"
"Alabama","FAYETTE",8470,0.4255,0.4522,0.1195,0.0028,1992,17962,15666,2190,78,2296,0.872174590802806,0.121924061908473,0.00434250083509631,0.127825409197194,"South"
"Alabama","FRANKLIN",11858,0.4043,0.502,0.0907,0.003,1992,27814,26375,1247,101,1439,0.948263464442367,0.0448335370676638,0.00363126483066082,0.0517365355576328,"South"
"Alabama","GENEVA",9867,0.4908,0.3671,0.1341,0.008,1992,23647,20604,2817,121,3043,0.871315600287563,0.119127162007866,0.00511692815156257,0.128684399712437,"South"
"Alabama","GREENE",4881,0.1649,0.7918,0.0397,0.0035,1992,10153,1966,8160,24,8187,0.193637348566926,0.803703338914607,0.00236383334974884,0.806362651433074,"South"
"Alabama","HALE",6023,0.3322,0.578,0.0807,0.0091,1992,15498,6241,9172,57,9257,0.402697122209317,0.591818299135372,0.00367789392179636,0.597302877790683,"South"
"Alabama","HENRY",6499,0.457,0.4315,0.1026,0.0089,1992,15374,9878,5368,92,5496,0.642513334200598,0.349160921035514,0.00598412904904384,0.357486665799402,"South"
"Alabama","HOUSTON",29760,0.5833,0.2976,0.1173,0.0017,1992,81331,61233,18900,464,20098,0.752886353297021,0.232383715926277,0.00570508170316362,0.247113646702979,"South"
