county,total,white,black,asian,other,pct_white
"Autauga County, Alabama",34222,27144,6845,120,113,0.793173982
"Baldwin County, Alabama",98280,84565,12640,221,854,0.860449735
"Barbour County, Alabama",25417,14118,11194,44,61,0.55545501
"Bibb County, Alabama",16576,13052,3478,11,35,0.787403475
"Blount County, Alabama",39248,38397,521,33,297,0.978317366
"Bullock County, Alabama",11042,3036,7986,10,10,0.27495019
"Butler County, Alabama",21892,13049,8798,19,26,0.596062489
"Calhoun County, Alabama",116034,92873,21578,869,714,0.800394712
"Chambers County, Alabama",36876,23575,13221,13,67,0.639304697
"Cherokee County, Alabama",19543,18154,1291,24,74,0.928925958
"Chilton County, Alabama",32458,28647,3674,38,99,0.882586727
"Choctaw County, Alabama",16018,8913,7077,12,16,0.556436509
"Clarke County, Alabama",27240,15527,11625,35,53,0.570007342
"Clay County, Alabama",13252,11044,2166,13,29,0.83338364
"Cleburne County, Alabama",12730,12084,587,13,46,0.949253731
"Coffee County, Alabama",40240,32702,6917,317,304,0.812673956
"Colbert County, Alabama",51666,42820,8568,93,185,0.828784888
"Conecuh County, Alabama",14054,8063,5925,13,53,0.573715668
"Coosa County, Alabama",11063,7242,3782,4,35,0.654614481
"Covington County, Alabama",36478,31551,4777,48,102,0.864932288
"Crenshaw County, Alabama",13635,10048,3544,11,32,0.736927026
"Cullman County, Alabama",67613,66744,560,117,192,0.987147442
"Dale County, Alabama",49633,39365,8847,731,690,0.793121512
"Dallas County, Alabama",48130,20121,27825,129,55,0.418055267
"DeKalb County, Alabama",54651,52980,1028,77,566,0.969424164
"Elmore County, Alabama",49210,37850,11039,129,192,0.769152611
"Escambia County, Alabama",35518,24326,10046,58,1088,0.684892167
"Etowah County, Alabama",99840,85274,13799,419,348,0.854106571
"Fayette County, Alabama",17962,15717,2190,19,36,0.875013918
"Franklin County, Alabama",27814,26463,1249,35,67,0.951427339
"Geneva County, Alabama",23647,20682,2824,15,126,0.874614116
"Greene County, Alabama",10153,1966,8181,0,6,0.193637349
"Hale County, Alabama",15498,6255,9214,9,20,0.403600465
"Henry County, Alabama",15374,9918,5395,6,55,0.645115129
"Houston County, Alabama",81331,61513,18954,470,394,0.756329075
"Jackson County, Alabama",47796,44696,1968,90,1042,0.935141016
"Jefferson County, Alabama",651525,418317,228521,3222,1465,0.642058248
"Lamar County, Alabama",15715,13805,1862,10,38,0.87846007
"Lauderdale County, Alabama",79661,71560,7695,196,210,0.898306574
"Lawrence County, Alabama",31513,24563,4798,19,2133,0.779456097
"Lee County, Alabama",87146,64889,20407,1584,266,0.744601014
"Limestone County, Alabama",54135,46658,7127,158,192,0.861882331
"Lowndes County, Alabama",12658,3185,9456,4,13,0.251619529
"Macon County, Alabama",24928,3443,21340,99,46,0.138117779
"Madison County, Alabama",238912,184197,48116,4232,2367,0.770982621
"Marengo County, Alabama",23084,11314,11745,11,14,0.490123029
"Marion County, Alabama",29830,28759,967,35,69,0.964096547
"Marshall County, Alabama",70832,69361,1087,111,273,0.97923255
"Mobile County, Alabama",378643,254853,117872,3398,2520,0.673069356
"Monroe County, Alabama",23968,14320,9372,54,222,0.597463284
"Montgomery County, Alabama",209085,119420,87312,1533,820,0.571155272
"Morgan County, Alabama",100043,89122,10081,370,470,0.89083694
"Perry County, Alabama",12759,4503,8219,14,23,0.352927345
"Pickens County, Alabama",20699,12002,8645,27,25,0.579834775
"Pike County, Alabama",27595,17814,9548,68,165,0.64555173
"Randolph County, Alabama",19881,15138,4686,21,36,0.761430512
"Russell County, Alabama",46860,28473,18088,117,182,0.607618438
"St. Clair County, Alabama",50009,45138,4561,77,233,0.902597532
"Shelby County, Alabama",99358,90715,7718,575,350,0.913011534
"Sumter County, Alabama",16174,4759,11369,30,16,0.294237665
"Talladega County, Alabama",74107,50970,22773,113,251,0.687789278
"Tallapoosa County, Alabama",38826,28493,10212,37,84,0.733863906
"Tuscaloosa County, Alabama",150522,109398,39377,1264,483,0.726790768
"Walker County, Alabama",67670,63042,4405,107,116,0.93160928
"Washington County, Alabama",16694,10984,4623,14,1073,0.657960944
"Wilcox County, Alabama",13568,4203,9353,6,6,0.309772995
"Winston County, Alabama",22053,21925,57,26,45,0.994195801
"Aleutians East Borough, Alaska",2464,827,16,463,1158,0.335633117
"Aleutians West Census Area, Alaska",9478,6360,662,979,1477,0.671027643
"Anchorage Borough, Alaska",226338,182736,14544,10910,18148,0.807358906
"Bethel Census Area, Alaska",13656,2105,62,91,11398,0.154144698
"Bristol Bay Borough, Alaska",1410,894,38,12,466,0.634042553
"Dillingham Census Area, Alaska",4012,1019,8,27,2958,0.253988036
"Fairbanks North Star Borough, Alaska",77720,63751,5553,1998,6418,0.820265054
"Haines Borough, Alaska",2117,1802,1,17,297,0.851204535
"Juneau Borough, Alaska",26751,21570,292,1154,3735,0.806324997
"Kenai Peninsula Borough, Alaska",40802,37089,203,428,3082,0.908999559
"Ketchikan Gateway Borough, Alaska",13828,11316,55,493,1964,0.818339601
"Kodiak Island Borough, Alaska",13309,9289,135,1492,2393,0.697948756
"Lake and Peninsula Borough, Alaska",1668,389,0,12,1267,0.233213429
"Matanuska-Susitna Borough, Alaska",39683,36949,307,297,2130,0.931103999
"Nome Census Area, Alaska",8288,2023,9,55,6201,0.244087838
"North Slope Borough, Alaska",5979,1274,41,285,4379,0.21307911
"Northwest Arctic Borough, Alaska",6113,841,12,48,5212,0.137575658
"Prince of Wales-Outer Ketchikan Census Area, Alaska",6278,3859,9,28,2382,0.614686206
"Sitka Borough, Alaska",8588,6359,39,333,1857,0.740451793
"Skagway-Yakutat-Angoon Census Area, Alaska",4385,2649,7,32,1697,0.604104903
"Southeast Fairbanks Census Area, Alaska",5913,4670,290,82,871,0.789785219
"Valdez-Cordova Census Area, Alaska",9952,8247,57,324,1324,0.828677653
"Wade Hampton Census Area, Alaska",5791,346,12,23,5410,0.059747885
"Wrangell-Petersburg Census Area, Alaska",7042,5544,11,94,1393,0.787276342
"Yukon-Koyukuk Census Area, Alaska",8478,3584,88,51,4755,0.422741213
"Apache County, Arizona",61591,12456,100,94,48941,0.20223734
"Cochise County, Arizona",97624,79724,5078,2247,10575,0.816643448
"Coconino County, Arizona",96591,61836,1419,861,32475,0.640183868
"Gila County, Arizona",40216,30776,99,140,9201,0.765267555
"Graham County, Arizona",26554,20603,502,106,5343,0.775890638
"Greenlee County, Arizona",8008,6835,28,16,1129,0.853521479
"La Paz County, Arizona",13844,10335,118,102,3289,0.746532794
"Maricopa County, Arizona",2122101,1799420,74257,36294,212130,0.847942676
"Mohave County, Arizona",93497,88834,303,569,3791,0.950126742
"Navajo County, Arizona",77658,34205,703,264,42486,0.440456875
"Pima County, Arizona",666880,524976,20795,11964,109145,0.787212092
"Pinal County, Arizona",116379,87219,3648,502,25010,0.749439332
"Santa Cruz County, Arizona",29676,22159,97,164,7256,0.746697668
"Yavapai County, Arizona",107714,103106,321,490,3797,0.957220046
"Yuma County, Arizona",106895,80702,3056,1393,21744,0.754965153
"Arkansas County, Arkansas",21653,16816,4738,35,64,0.77661294
"Ashley County, Arkansas",24319,17511,6616,48,144,0.720054279
"Baxter County, Arkansas",31186,30964,4,61,157,0.992881421
"Benton County, Arkansas",97499,94968,124,455,1952,0.974040759
"Boone County, Arkansas",28297,28038,5,44,210,0.990847086
"Bradley County, Arkansas",11793,8012,3648,2,131,0.679386076
"Calhoun County, Arkansas",5826,4357,1447,7,15,0.747854446
"Carroll County, Arkansas",18654,18416,6,54,178,0.987241342
"Chicot County, Arkansas",15713,6692,8859,57,105,0.425889391
"Clark County, Arkansas",21437,16344,4913,76,104,0.762420115
"Clay County, Arkansas",18107,18031,6,14,56,0.995802728
"Cleburne County, Arkansas",19411,19292,6,22,91,0.993869455
"Cleveland County, Arkansas",7781,6681,1059,14,27,0.858629996
"Columbia County, Arkansas",25691,16564,8992,62,73,0.644739403
"Conway County, Arkansas",19151,16139,2876,30,106,0.842723618
"Craighead County, Arkansas",68956,64449,3778,393,336,0.93463948
"Crawford County, Arkansas",42493,40974,374,389,756,0.964252936
"Crittenden County, Arkansas",49939,28152,21401,181,205,0.563727748
"Cross County, Arkansas",19225,14343,4782,40,60,0.746059818
"Dallas County, Arkansas",9614,5873,3698,11,32,0.610879967
"Desha County, Arkansas",16798,9500,7139,37,122,0.565543517
"Drew County, Arkansas",17369,12530,4754,23,62,0.721400196
"Faulkner County, Arkansas",60006,54644,4778,226,358,0.910642269
"Franklin County, Arkansas",14897,14644,99,24,130,0.983016715
"Fulton County, Arkansas",10037,9969,10,9,49,0.993225067
"Garland County, Arkansas",73397,66770,5604,228,795,0.909710206
"Grant County, Arkansas",13948,13491,377,21,59,0.967235446
"Greene County, Arkansas",31804,31627,20,41,116,0.994434662
"Hempstead County, Arkansas",21621,14888,6464,37,232,0.688589797
"Hot Spring County, Arkansas",26115,23066,2865,33,151,0.883247176
"Howard County, Arkansas",13569,10504,2919,60,86,0.774117474
"Independence County, Arkansas",31192,30344,595,115,138,0.972813542
"Izard County, Arkansas",11364,11266,11,18,69,0.991376276
"Jackson County, Arkansas",18944,16081,2759,23,81,0.848870355
"Jefferson County, Arkansas",85487,47878,36877,352,380,0.560061764
"Johnson County, Arkansas",18221,17632,309,77,203,0.967674661
"Lafayette County, Arkansas",9643,5884,3711,17,31,0.610183553
"Lawrence County, Arkansas",17457,17223,88,16,130,0.986595635
"Lee County, Arkansas",13053,5449,7487,47,70,0.417451927
"Lincoln County, Arkansas",13690,8611,4935,20,124,0.62899927
"Little River County, Arkansas",13966,10820,2931,17,198,0.774738651
"Logan County, Arkansas",20557,20083,273,28,173,0.976942161
"Lonoke County, Arkansas",39268,35395,3536,114,223,0.901370072
"Madison County, Arkansas",11618,11435,3,13,167,0.98424858
"Marion County, Arkansas",12001,11899,6,24,72,0.991500708
"Miller County, Arkansas",38467,29464,8625,143,235,0.765955234
"Mississippi County, Arkansas",57525,40689,16006,352,478,0.707327249
"Monroe County, Arkansas",11333,6862,4422,22,27,0.605488397
"Montgomery County, Arkansas",7841,7718,8,11,104,0.984313225
"Nevada County, Arkansas",10101,6856,3196,5,44,0.678744679
"Newton County, Arkansas",7666,7582,0,19,65,0.989042525
"Ouachita County, Arkansas",30574,19702,10739,67,66,0.644403742
"Perry County, Arkansas",7969,7780,119,17,53,0.976283097
"Phillips County, Arkansas",28838,12915,15753,72,98,0.447846591
"Pike County, Arkansas",10086,9621,378,6,81,0.95389649
"Poinsett County, Arkansas",24664,22797,1773,28,66,0.924302627
"Polk County, Arkansas",17347,17035,0,33,279,0.982014181
"Pope County, Arkansas",45883,44126,1129,200,428,0.96170695
"Prairie County, Arkansas",9518,8170,1294,4,50,0.858373608
"Pulaski County, Arkansas",349660,252554,92200,2762,2144,0.722284505
"Randolph County, Arkansas",16558,16322,146,19,71,0.985747071
"St. Francis County, Arkansas",28497,14722,13521,116,138,0.516615784
"Saline County, Arkansas",64183,62215,1348,245,375,0.969337675
"Scott County, Arkansas",10205,10035,1,51,118,0.983341499
"Searcy County, Arkansas",7841,7750,2,15,74,0.988394337
"Sebastian County, Arkansas",99590,88719,5666,3291,1914,0.890842454
"Sevier County, Arkansas",13637,12081,787,16,753,0.885898658
"Sharp County, Arkansas",14109,13908,66,17,118,0.985753774
"Stone County, Arkansas",9775,9687,8,20,60,0.990997442
"Union County, Arkansas",46719,32414,14061,91,153,0.693807659
"Van Buren County, Arkansas",14008,13845,41,22,100,0.988363792
"Washington County, Arkansas",113409,108743,1676,1043,1947,0.958856881
"White County, Arkansas",54676,52509,1703,119,345,0.960366523
"Woodruff County, Arkansas",9520,6502,2991,11,16,0.682983193
"Yell County, Arkansas",17759,17172,371,98,118,0.966946337
"Alameda County, California",1279182,761815,229249,192554,95564,0.595548562
"Alpine County, California",1113,806,6,5,296,0.724168913
"Amador County, California",30039,26894,1682,218,1245,0.895302773
"Butte County, California",182120,165200,2361,5170,9389,0.907094224
"Calaveras County, California",31998,30609,184,203,1002,0.956591037
"Colusa County, California",16275,12442,96,357,3380,0.764485407
"Contra Costa County, California",803732,611003,74577,77012,41140,0.760207383
"Del Norte County, California",23460,20210,858,450,1942,0.861466326
"El Dorado County, California",125995,119118,606,2456,3815,0.945418469
"Fresno County, California",667490,422839,33423,57239,153989,0.633476157
"Glenn County, California",24798,21176,137,821,2664,0.853939834
"Humboldt County, California",119118,107881,960,2315,7962,0.905664971
"Imperial County, California",109303,73615,2622,2135,30931,0.673494781
"Inyo County, California",18281,15777,79,178,2247,0.863027187
"Kern County, California",543477,378479,30131,16541,118326,0.696402976
"Kings County, California",101469,65166,8243,3594,24466,0.642225704
"Lake County, California",50631,46486,933,475,2737,0.91813316
"Lassen County, California",27598,24215,1719,310,1354,0.877418654
"Los Angeles County, California",8863164,5035103,992974,954485,1880602,0.568093178
"Madera County, California",88090,63369,2494,1264,20963,0.719366557
"Marin County, California",230096,204128,8172,9442,8354,0.887142758
"Mariposa County, California",14302,13221,122,128,831,0.924416166
"Mendocino County, California",80345,72026,507,925,6887,0.89645902
"Merced County, California",178403,120280,8523,15128,34472,0.674203909
"Modoc County, California",9678,8803,78,40,757,0.909588758
"Mono County, California",9956,9229,43,131,553,0.926978706
"Monterey County, California",355660,227008,22849,27856,77947,0.638272507
"Napa County, California",110765,98469,1204,3604,7488,0.888990204
"Nevada County, California",78510,76371,180,635,1324,0.972755063
"Orange County, California",2410556,1894593,42681,249192,224090,0.78595685
"Placer County, California",172796,161948,1033,3806,6009,0.937220769
"Plumas County, California",19739,18590,152,118,879,0.941790364
"Riverside County, California",1170413,894767,63591,41591,170464,0.764488262
"Sacramento County, California",1041219,782326,97129,96344,65420,0.751355863
"San Benito County, California",36697,25617,204,804,10072,0.698067962
"San Bernardino County, California",1418380,1035328,114934,59201,208917,0.72993697
"San Diego County, California",2498016,1872256,159306,198311,268143,0.749497201
"San Francisco County, California",723959,387783,79039,210876,46261,0.535642212
"San Joaquin County, California",480628,353169,27094,59690,40675,0.734807377
"San Luis Obispo County, California",217162,193619,5727,6195,11621,0.891587847
"San Mateo County, California",649623,466885,35283,109281,38174,0.718701462
