state,county,total_pop,white,black,latino,non_white,pct_white,pct_nonwhite,pct_latino
Alabama,AUTAUGA,54571,42154,9595,1310,12417,0.772461564,0.227538436,0.024005424
Alabama,BALDWIN,182265,152200,16966,7992,30065,0.83504787,0.16495213,0.043848243
Alabama,BARBOUR,27457,12837,12820,1387,14620,0.467531049,0.532468951,0.050515351
Alabama,BIBB,22915,17191,5024,406,5724,0.750207288,0.249792712,0.017717652
Alabama,BLOUNT,57322,50952,724,4626,6370,0.888873382,0.111126618,0.080701999
Alabama,BULLOCK,10914,2392,7637,777,8522,0.219168041,0.780831959,0.071192963
Alabama,BUTLER,20947,11324,9047,191,9623,0.540602473,0.459397527,0.009118251
Alabama,CALHOUN,118572,87285,24177,3893,31287,0.736135007,0.263864993,0.032832372
Alabama,CHAMBERS,34215,19893,13206,536,14322,0.581411662,0.418588338,0.015665644
Alabama,CHEROKEE,25989,23929,1206,320,2060,0.920735696,0.079264304,0.012312902
Alabama,CHILTON,43643,35395,4171,3420,8248,0.811012075,0.188987925,0.078363082
Alabama,CHOCTAW,13859,7700,5990,73,6159,0.555595642,0.444404358,0.005267335
Alabama,CLARKE,25833,13943,11280,271,11890,0.539735997,0.460264003,0.010490458
Alabama,CLAY,13932,11186,2048,399,2746,0.802899799,0.197100201,0.028639104
Alabama,CLEBURNE,14972,13956,494,307,1016,0.932139995,0.067860005,0.020504943
Alabama,COFFEE,49948,36134,8257,3180,13814,0.72343237,0.27656763,0.063666213
Alabama,COLBERT,54428,43334,8702,1093,11094,0.796171088,0.203828912,0.020081576
Alabama,CONECUH,13228,6764,6122,161,6464,0.511339583,0.488660417,0.012171152
Alabama,COOSA,11539,7604,3556,230,3935,0.658982581,0.341017419,0.019932403
Alabama,COVINGTON,37765,31751,4685,483,6014,0.840752019,0.159247981,0.01278962
Alabama,CRENSHAW,13906,10020,3241,204,3886,0.72055228,0.27944772,0.014669927
Alabama,CULLMAN,80406,74568,821,3454,5838,0.927393478,0.072606522,0.042956993
Alabama,DALE,50251,35705,9546,2821,14546,0.710533124,0.289466876,0.056138186
Alabama,DALLAS,43820,12676,30314,309,31144,0.289274304,0.710725696,0.007051575
Alabama,DEKALB,71109,57997,1029,9690,13112,0.815607026,0.184392974,0.136269671
Alabama,ELMORE,79303,59449,15814,2129,19854,0.749643771,0.250356229,0.026846399
Alabama,ESCAMBIA,38319,23508,12162,718,14811,0.613481563,0.386518437,0.018737441
Alabama,ETOWAH,104430,82789,15716,3447,21641,0.792770277,0.207229723,0.033007756
Alabama,FAYETTE,17241,14832,1958,204,2409,0.860274926,0.139725074,0.01183226
Alabama,FRANKLIN,31704,25249,1211,4710,6455,0.796397931,0.203602069,0.148561696
Alabama,GENEVA,26790,22692,2523,920,4098,0.847032475,0.152967525,0.034341172
