state,county,total_pop,white,black,asian,latino,pct_latino,pct_white,pct_nonwhite,fips,geo_id
Alabama,Autauga,55136,42033,10156,500,1391,0.025228526,0.762351277,0.237648723,1001,05000US01001
Alabama,Baldwin,191205,159047,17833,1256,8630,0.045134803,0.831814022,0.168185978,1003,05000US01003
Alabama,Barbour,27119,12505,12528,100,1283,0.047310004,0.461115823,0.538884177,1005,05000US01005
Alabama,Bibb,22653,16936,4791,19,455,0.02008564,0.747627246,0.252372754,1007,05000US01007
Alabama,Blount,57645,50820,847,57,4880,0.084656085,0.881602914,0.118397086,1009,05000US01009
Alabama,Bullock,10693,2372,7640,6,431,0.040306743,0.221827364,0.778172636,1011,05000US01011
Alabama,Butler,20523,11006,8975,118,233,0.011353116,0.536276373,0.463723627,1013,05000US01013
Alabama,Calhoun,117186,85871,24186,939,4017,0.034278839,0.732775246,0.267224754,1015,05000US01015
Alabama,Chambers,34091,19651,13715,214,158,0.004634654,0.576427796,0.423572204,1017,05000US01017
Alabama,Cherokee,26042,23929,1240,72,375,0.014399816,0.918861839,0.081138161,1019,05000US01019
Alabama,Chilton,43781,35342,4438,104,3366,0.076882666,0.807245152,0.192754848,1021,05000US01021
Alabama,Choctaw,13546,7551,5847,8,56,0.004134062,0.557433929,0.442566071,1023,05000US01023
Alabama,Clarke,25331,13548,11401,51,110,0.004342505,0.534838735,0.465161265,1025,05000US01025
Alabama,Clay,13617,10900,1986,0,424,0.031137549,0.800470001,0.199529999,1027,05000US01027
Alabama,Cleburne,14990,13897,430,69,331,0.022081388,0.927084723,0.072915277,1029,05000US01029
Alabama,Coffee,50726,36434,8576,673,3236,0.063793715,0.718250996,0.281749004,1031,05000US01031
Alabama,Colbert,54491,43099,8691,172,1276,0.023416711,0.790937953,0.209062047,1033,05000US01033
Alabama,Conecuh,12985,6629,5814,10,206,0.015864459,0.510512129,0.489487871,1035,05000US01035
Alabama,Coosa,11247,7311,3524,0,238,0.021161199,0.650040011,0.349959989,1037,05000US01037
Alabama,Covington,37881,31656,4849,134,564,0.01488873,0.835669597,0.164330403,1039,05000US01039
Alabama,Crenshaw,13938,9873,3269,228,229,0.016429904,0.70835127,0.29164873,1041,05000US01041
Alabama,Cullman,80668,74464,886,401,3481,0.043152179,0.92309218,0.07690782,1043,05000US01043
Alabama,Dale,50013,35116,9528,599,2929,0.058564773,0.702137444,0.297862556,1045,05000US01045
Alabama,Dallas,42743,12251,29738,55,160,0.003743303,0.286620031,0.713379969,1047,05000US01047
Alabama,DeKalb,71074,57599,1179,206,9922,0.139600979,0.81040887,0.18959113,1049,05000US01049
Alabama,Elmore,80321,59434,16493,617,2180,0.027141096,0.739955927,0.260044073,1051,05000US01051
Alabama,Escambia,38042,23179,12339,52,768,0.020188213,0.609300247,0.390699753,1053,05000US01053
Alabama,Etowah,104126,81954,15955,696,3669,0.035236156,0.78706567,0.21293433,1055,05000US01055
Alabama,Fayette,17019,14559,2081,42,128,0.007521006,0.855455667,0.144544333,1057,05000US01057
Alabama,Franklin,31663,24970,1391,23,4882,0.154186274,0.788617629,0.211382371,1059,05000US01059
Alabama,Geneva,26816,22582,2557,109,947,0.035314737,0.842109189,0.157890811,1061,05000US01061
Alabama,Greene,8798,1559,7102,10,39,0.004432826,0.177199363,0.822800637,1063,05000US01063
Alabama,Hale,15393,6128,8974,41,164,0.010654193,0.398103034,0.601896966,1065,05000US01065
Alabama,Henry,17270,11767,4777,218,418,0.024203822,0.681354951,0.318645049,1067,05000US01067
Alabama,Houston,103079,70059,26765,831,3251,0.031538917,0.679663171,0.320336829,1069,05000US01069
Alabama,Jackson,53012,47536,1715,204,1413,0.026654342,0.896702633,0.103297367,1071,05000US01071
