state,county,total_pop,white,black,latino,non_white,pct_white,pct_latino,pct_nonwhite
Alabama,AUTAUGA,55221,41848,10236,1440,13373,0.757827638,0.026077036,0.242172362
Alabama,BALDWIN,195121,162153,18533,8776,32968,0.831038176,0.044977219,0.168961824
Alabama,BARBOUR,26932,12454,12579,1241,14478,0.462423882,0.046079014,0.537576118
Alabama,BIBB,22604,16840,4838,502,5764,0.745000885,0.022208459,0.254999115
Alabama,BLOUNT,57710,50700,884,4980,7010,0.878530584,0.086293537,0.121469416
Alabama,BULLOCK,10678,2372,7550,473,8306,0.222138977,0.044296685,0.777861023
Alabama,BUTLER,20354,10856,8924,240,9498,0.533359536,0.011791294,0.466640464
Alabama,CALHOUN,116648,85184,23703,4075,31464,0.730265414,0.034934161,0.269734586
Alabama,CHAMBERS,34079,19522,13728,152,14557,0.572845447,0.004460225,0.427154553
Alabama,CHEROKEE,26008,23854,1236,391,2154,0.917179329,0.015033836,0.082820671
Alabama,CHILTON,43819,35289,4471,3350,8530,0.805335585,0.076450855,0.194664415
Alabama,CHOCTAW,13395,7487,5753,48,5908,0.558939903,0.003583427,0.441060097
Alabama,CLARKE,25070,13376,11346,85,11694,0.533546071,0.003390507,0.466453929
Alabama,CLAY,13537,10821,1948,430,2716,0.799364704,0.031764793,0.200635296
Alabama,CLEBURNE,15002,13877,442,345,1125,0.925009999,0.022996934,0.074990001
Alabama,COFFEE,50884,36392,8753,3276,14492,0.715195346,0.064381731,0.284804654
Alabama,COLBERT,54444,42957,8478,1321,11487,0.789012563,0.024263463,0.210987437
Alabama,CONECUH,12865,6557,5748,210,6308,0.509677419,0.016323358,0.490322581
Alabama,COOSA,11027,7190,3384,237,3837,0.652035912,0.0214927,0.347964088
Alabama,COVINGTON,37886,31577,4912,580,6309,0.833474107,0.015309085,0.166525893
Alabama,CRENSHAW,13938,9825,3277,237,4113,0.704907447,0.017003874,0.295092553
Alabama,CULLMAN,80965,74635,857,3493,6330,0.92181807,0.043142098,0.07818193
Alabama,DALE,49866,34829,9678,2980,15037,0.698451851,0.059760157,0.301548149
Alabama,DALLAS,42154,12045,29159,130,30109,0.285738008,0.00308393,0.714261992
Alabama,DEKALB,71068,57485,1270,9957,13583,0.808873192,0.140105251,0.191126808
Alabama,ELMORE,80763,59479,16991,2229,21284,0.73646348,0.027599272,0.26353652
Alabama,ESCAMBIA,37935,23023,12660,466,14912,0.606906551,0.01228417,0.393093449
Alabama,ETOWAH,103766,81479,15947,3740,22287,0.785218665,0.036042634,0.214781335
Alabama,FAYETTE,16896,14413,2033,126,2483,0.85304214,0.007457386,0.14695786
Alabama,FRANKLIN,31634,24833,1301,4958,6801,0.7850098,0.156730101,0.2149902
Alabama,GENEVA,26815,22534,2342,973,4281,0.84035055,0.036285661,0.15964945
Alabama,GREENE,8697,1547,7011,61,7150,0.177877429,0.007013913,0.822122571
Alabama,HALE,15256,6095,8873,170,9161,0.399514945,0.011143157,0.600485055
Alabama,HENRY,17252,11788,4891,429,5464,0.683283098,0.024866682,0.316716902
Alabama,HOUSTON,103534,70069,27121,3338,33465,0.676772848,0.032240617,0.323227152
Alabama,JACKSON,52860,47279,1635,1450,5581,0.894419221,0.02743095,0.105580779
Alabama,JEFFERSON,659026,336064,277830,24991,322962,0.509940427,0.037921114,0.490059573
Alabama,LAMAR,14133,12154,1565,196,1979,0.859973113,0.013868252,0.140026887
Alabama,LAUDERDALE,92737,78773,9156,2229,13964,0.849423639,0.024035714,0.150576361
Alabama,LAWRENCE,33586,25703,3837,697,7883,0.765289109,0.020752695,0.234710891
Alabama,LEE,150982,102965,34698,5615,48017,0.681968712,0.037189864,0.318031288
Alabama,LIMESTONE,88805,68756,11385,5137,20049,0.774235685,0.057845842,0.225764315
