fips,geo_id,state,county,total_pop_1990,white_1990,black_1990,latino_1990,non_white_1990,pct_white_1990,pct_nonwhite_1990,pct_latino_1990,total_pop_2000,white_2000,black_2000,latino_2000,non_white_2000,pct_white_2000,pct_nonwhite_2000,pct_latino_2000,total_pop_2010,white_2010,black_2010,latino_2010,non_white_2010,pct_white_2010,pct_nonwhite_2010,pct_latino_2010,total_pop_2012,white_2012,black_2012,latino_2012,non_white_2012,pct_white_2012,pct_nonwhite_2012,pct_latino_2012,total_pop_2014,white_2014,black_2014,asian_2014,latino_2014,pct_latino_2014,pct_white_2014,pct_nonwhite_2014,total_pop_2016,white_2016,black_2016,latino_2016,non_white_2016,pct_white_2016,pct_latino_2016,pct_nonwhite_2016
1001,05000US01001,Alabama,autauga,34222,26997,6806,230,7225,0.788878499,0.211121501,0.006720823,43671,34823,7428,610,8848,0.797394152,0.202605848,0.01396808,54571,42154,9595,1310,12417,0.772461564,0.227538436,0.024005424,54590,41982,9796,1310,12608,0.769041949,0.230958051,0.023997069,55136,42033,10156,500,1391,0.025228526,0.762351277,0.237648723,55221,41848,10236,1440,13373,0.757827638,0.026077036,0.242172362
1003,05000US01003,Alabama,baldwin,98280,83800,12592,1022,14480,0.852665853,0.147334147,0.01039886,140415,120868,14357,2466,19547,0.860791226,0.139208774,0.017562226,182265,152200,16966,7992,30065,0.83504787,0.16495213,0.043848243,183226,153183,16922,7915,30043,0.836033096,0.163966904,0.043198018,191205,159047,17833,1256,8630,0.045134803,0.831814022,0.168185978,195121,162153,18533,8776,32968,0.831038176,0.044977219,0.168961824
1005,05000US01005,Alabama,barbour,25417,14054,11156,124,11363,0.552937011,0.447062989,0.004878625,29038,14788,13369,478,14250,0.509263723,0.490736277,0.016461189,27457,12837,12820,1387,14620,0.467531049,0.532468951,0.050515351,27469,12865,12610,1365,14604,0.468346136,0.531653864,0.049692381,27119,12505,12528,100,1283,0.047310004,0.461115823,0.538884177,26932,12454,12579,1241,14478,0.462423882,0.046079014,0.537576118
1007,05000US01007,Alabama,bibb,16576,13033,3468,39,3543,0.786257239,0.213742761,0.002352799,20826,15870,4584,210,4956,0.762028234,0.237971766,0.010083549,22915,17191,5024,406,5724,0.750207288,0.249792712,0.017717652,22769,17058,4944,419,5711,0.749176512,0.250823488,0.018402214,22653,16936,4791,19,455,0.02008564,0.747627246,0.252372754,22604,16840,4838,502,5764,0.745000885,0.022208459,0.254999115
1009,05000US01009,Alabama,blount,39248,38275,519,286,973,0.975208928,0.024791072,0.007286996,51024,46999,598,2718,4025,0.921115553,0.078884447,0.05326905,57322,50952,724,4626,6370,0.888873382,0.111126618,0.080701999,57466,51033,710,4646,6433,0.888055546,0.111944454,0.080847806,57645,50820,847,57,4880,0.084656085,0.881602914,0.118397086,57710,50700,884,4980,7010,0.878530584,0.086293537,0.121469416
1011,05000US01011,Alabama,bullock,11042,3011,7948,65,8031,0.272686108,0.727313892,0.005886615,11714,2764,8486,322,8950,0.235956975,0.764043025,0.027488475,10914,2392,7637,777,8522,0.219168041,0.780831959,0.071192963,10779,2405,7609,623,8374,0.223119028,0.776880972,0.057797569,10693,2372,7640,6,431,0.040306743,0.221827364,0.778172636,10678,2372,7550,473,8306,0.222138977,0.044296685,0.777861023
1013,05000US01013,Alabama,butler,21892,13001,8783,65,8891,0.593869907,0.406130093,0.002969121,21399,12429,8671,143,8970,0.580821534,0.419178466,0.006682555,20947,11324,9047,191,9623,0.540602473,0.459397527,0.009118251,20730,11199,8961,203,9531,0.540231548,0.459768452,0.009792571,20523,11006,8975,118,233,0.011353116,0.536276373,0.463723627,20354,10856,8924,240,9498,0.533359536,0.011791294,0.466640464
1015,05000US01015,Alabama,calhoun,116034,92154,21476,1282,23880,0.794198252,0.205801748,0.011048486,112249,87598,20725,1753,24651,0.780390026,0.219609974,0.015617066,118572,87285,24177,3893,31287,0.736135007,0.263864993,0.032832372,117834,86764,24164,3838,31070,0.736323981,0.263676019,0.032571244,117186,85871,24186,939,4017,0.034278839,0.732775246,0.267224754,116648,85184,23703,4075,31464,0.730265414,0.034934161,0.269734586
1017,05000US01017,Alabama,chambers,36876,23510,13187,127,13366,0.637542033,0.362457967,0.003443974,36583,22111,13872,280,14472,0.604406418,0.395593582,0.007653828,34215,19893,13206,536,14322,0.581411662,0.418588338,0.015665644,34228,19869,13383,555,14359,0.580489658,0.419510342,0.016214795,34091,19651,13715,214,158,0.004634654,0.576427796,0.423572204,34079,19522,13728,152,14557,0.572845447,0.004460225,0.427154553
1019,05000US01019,Alabama,cherokee,19543,18118,1291,57,1425,0.927083866,0.072916134,0.002916645,23988,22164,1327,204,1824,0.923961981,0.076038019,0.008504252,25989,23929,1206,320,2060,0.920735696,0.079264304,0.012312902,25917,23848,1234,333,2069,0.920168229,0.079831771,0.012848709,26042,23929,1240,72,375,0.014399816,0.918861839,0.081138161,26008,23854,1236,391,2154,0.917179329,0.015033836,0.082820671
