office,state,date,county,rep_votes,rep_candidate,rep_status,dem_votes,dem_candidate,dem_status,third,third_votes,third_candidate,third_status,other_votes,plurality_votes,plurality_party,pct_third,pct_rep,pct_dem,year
Governor,Washington,19921103,ADAMS,"2,807","Eikenberry, Ken",Challenger,"1,750","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"1,057",R,0,61.6,38.4,1992
Governor,Washington,19921103,ASOTIN,"4,035","Eikenberry, Ken",Challenger,"3,436","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,599,R,0,54.01,45.99,1992
Governor,Washington,19921103,BENTON,"29,614","Eikenberry, Ken",Challenger,"21,872","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"7,742",R,0,57.52,42.48,1992
Governor,Washington,19921103,CHELAN,"14,379","Eikenberry, Ken",Challenger,"8,666","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"5,713",R,0,62.4,37.6,1992
Governor,Washington,19921103,CLALLAM,"16,330","Eikenberry, Ken",Challenger,"12,049","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"4,281",R,0,57.54,42.46,1992
Governor,Washington,19921103,CLARK,"55,780","Eikenberry, Ken",Challenger,"48,292","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"7,488",R,0,53.6,46.4,1992
Governor,Washington,19921103,COLUMBIA,"1,313","Eikenberry, Ken",Challenger,599,"Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,714,R,0,68.67,31.33,1992
Governor,Washington,19921103,COWLITZ,"17,381","Eikenberry, Ken",Challenger,"16,677","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,704,R,0,51.03,48.97,1992
Governor,Washington,19921103,DOUGLAS,"6,785","Eikenberry, Ken",Challenger,"4,139","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"2,646",R,0,62.11,37.89,1992
Governor,Washington,19921103,FERRY,"1,459","Eikenberry, Ken",Challenger,"1,062","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,397,R,0,57.87,42.13,1992
Governor,Washington,19921103,FRANKLIN,"6,531","Eikenberry, Ken",Challenger,"5,474","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"1,057",R,0,54.4,45.6,1992
Governor,Washington,19921103,GARFIELD,878,"Eikenberry, Ken",Challenger,426,"Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,452,R,0,67.33,32.67,1992
Governor,Washington,19921103,GRANT,"13,688","Eikenberry, Ken",Challenger,"7,991","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"5,697",R,0,63.14,36.86,1992
Governor,Washington,19921103,GRAYS HARBOR,"12,060","Eikenberry, Ken",Challenger,"14,986","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"2,926",D,0,44.59,55.41,1992
Governor,Washington,19921103,ISLAND,"14,704","Eikenberry, Ken",Challenger,"12,429","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"2,275",R,0,54.19,45.81,1992
Governor,Washington,19921103,JEFFERSON,"5,820","Eikenberry, Ken",Challenger,"7,047","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"1,227",D,0,45.23,54.77,1992
Governor,Washington,19921103,KING,"305,326","Eikenberry, Ken",Challenger,"466,506","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"161,180",D,0,39.56,60.44,1992
Governor,Washington,19921103,KITSAP,"44,852","Eikenberry, Ken",Challenger,"42,562","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"2,290",R,0,51.31,48.69,1992
Governor,Washington,19921103,KITTITAS,"5,978","Eikenberry, Ken",Challenger,"6,232","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,254,D,0,48.96,51.04,1992
Governor,Washington,19921103,KLICKITAT,"3,752","Eikenberry, Ken",Challenger,"2,883","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,869,R,0,56.55,43.45,1992
Governor,Washington,19921103,LEWIS,"19,003","Eikenberry, Ken",Challenger,"7,938","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"11,065",R,0,70.54,29.46,1992
Governor,Washington,19921103,LINCOLN,"3,223","Eikenberry, Ken",Challenger,"1,717","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"1,506",R,0,65.24,34.76,1992
Governor,Washington,19921103,MASON,"10,111","Eikenberry, Ken",Challenger,"9,548","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,563,R,0,51.43,48.57,1992
Governor,Washington,19921103,OKANOGAN,"7,712","Eikenberry, Ken",Challenger,"5,139","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"2,573",R,0,60.01,39.99,1992
Governor,Washington,19921103,PACIFIC,"4,254","Eikenberry, Ken",Challenger,"4,933","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,679,D,0,46.3,53.7,1992
Governor,Washington,19921103,PEND OREILLE,"2,726","Eikenberry, Ken",Challenger,"1,919","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,807,R,0,58.69,41.31,1992
Governor,Washington,19921103,PIERCE,"117,623","Eikenberry, Ken",Challenger,"120,968","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"3,345",D,0,49.3,50.7,1992
Governor,Washington,19921103,SAN JUAN,"3,123","Eikenberry, Ken",Challenger,"3,758","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,635,D,0,45.39,54.61,1992
Governor,Washington,19921103,SKAGIT,"21,560","Eikenberry, Ken",Challenger,"18,784","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"2,776",R,0,53.44,46.56,1992
Governor,Washington,19921103,SKAMANIA,"1,883","Eikenberry, Ken",Challenger,"1,657","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,226,R,0,53.19,46.81,1992
Governor,Washington,19921103,SNOHOMISH,"106,196","Eikenberry, Ken",Challenger,"117,000","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"10,804",D,0,47.58,52.42,1992
Governor,Washington,19921103,SPOKANE,"93,269","Eikenberry, Ken",Challenger,"74,262","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"19,007",R,0,55.67,44.33,1992
Governor,Washington,19921103,STEVENS,"9,217","Eikenberry, Ken",Challenger,"5,447","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"3,770",R,0,62.85,37.15,1992
Governor,Washington,19921103,THURSTON,"37,038","Eikenberry, Ken",Challenger,"46,666","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"9,628",D,0,44.25,55.75,1992
Governor,Washington,19921103,WAHKIAKUM,966,"Eikenberry, Ken",Challenger,775,"Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,191,R,0,55.49,44.51,1992
Governor,Washington,19921103,WALLA WALLA,"11,333","Eikenberry, Ken",Challenger,"8,330","Lowry, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"3,003",R,0,57.64,42.36,1992
