"Office","State","RaceDate","CensusPop","Area","AreaType","RepVotes","RepCandidate","RepStatus","DemVotes","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","OtherVotes","PluralityVotes","PluralityParty","ThirdVotesTotalPercent","RepVotesMajorPercent","DemVotesMajorPercent","RaceNotes","TitleNotes","OtherNotes"
"Governor","Kentucky","20151103","N/A","ADAIR","County","2,727","Bevin, Matt G.","Challenger","1,268","Conway, Jack","Challenger","Independent","116","Curtis, Drew","Challenger","N/A","1,459","R",2.82,68.26,31.74,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","ALLEN","County","2,344","Bevin, Matt G.","Challenger","977","Conway, Jack","Challenger","Independent","76","Curtis, Drew","Challenger","N/A","1,367","R",2.24,70.58,29.42,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","ANDERSON","County","3,724","Bevin, Matt G.","Challenger","2,635","Conway, Jack","Challenger","Independent","370","Curtis, Drew","Challenger","N/A","1,089","R",5.5,58.56,41.44,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","BALLARD","County","1,312","Bevin, Matt G.","Challenger","990","Conway, Jack","Challenger","Independent","75","Curtis, Drew","Challenger","N/A","322","R",3.16,56.99,43.01,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","BARREN","County","5,289","Bevin, Matt G.","Challenger","3,568","Conway, Jack","Challenger","Independent","358","Curtis, Drew","Challenger","2","1,721","R",3.88,59.72,40.28,"The other vote was: Whyte, Blackii Effing (Write-in) 2; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 2; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","BATH","County","1,045","Bevin, Matt G.","Challenger","1,117","Conway, Jack","Challenger","Independent","78","Curtis, Drew","Challenger","N/A","72","D",3.48,48.33,51.67,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","BELL","County","2,425","Bevin, Matt G.","Challenger","1,556","Conway, Jack","Challenger","Independent","157","Curtis, Drew","Challenger","N/A","869","R",3.79,60.91,39.09,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","BOONE","County","15,842","Bevin, Matt G.","Challenger","7,418","Conway, Jack","Challenger","Independent","822","Curtis, Drew","Challenger","N/A","8,424","R",3.41,68.11,31.89,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","BOURBON","County","2,202","Bevin, Matt G.","Challenger","2,510","Conway, Jack","Challenger","Independent","145","Curtis, Drew","Challenger","N/A","308","D",2.99,46.73,53.27,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","BOYD","County","4,747","Bevin, Matt G.","Challenger","4,154","Conway, Jack","Challenger","Independent","281","Curtis, Drew","Challenger","N/A","593","R",3.06,53.33,46.67,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
