"Office","State","CensusPop","raceYear","Area","AreaNumber","RedistrictedDate","RepVotes","RepCandidate","RepStatus","DemVotes","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","OtherVotes","PluralityVotes","PluralityParty","ThirdVotesTotalPercent","RepVotesMajorPercent","DemVotesMajorPercent","RaceNotes"
"House","Hawaii","N/A","2000","District 1","1","19920101","44,989","Meyers, Phil","Challenger","108,517","Abercrombie, Neil","Incumbent","N/A","N/A","N/A","N/A","3,688","63,528","D",".00","29.31","70.69",""
"House","Hawaii","N/A","1998","District 1","1","19920101","68,905","Ward, Gene","Challenger","116,693","Abercrombie, Neil","Incumbent","N/A","N/A","N/A","N/A","3,973","47,788","D",".00","37.13","62.87",""
"House","Hawaii","N/A","1996","District 1","1","19920101","80,053","Swindle, Orson","Challenger","86,732","Abercrombie, Neil","Incumbent","N/A","N/A","N/A","N/A","5,421","6,679","D",".00","48.00","52.00",""
"House","Hawaii","N/A","1994","District 1","1","19920101","76,623","Swindle, Orson","Challenger","94,754","Abercrombie, Neil","Incumbent","N/A","N/A","N/A","N/A","5,329","18,131","D",".00","44.71","55.29",""
"House","Hawaii","N/A","1992","District 1","1","19920101","41,575","Sutton, Warner C.K.","Challenger","129,332","Abercrombie, Neil","Incumbent","N/A","N/A","N/A","N/A","6,569","87,757","D",".00","24.33","75.67",""
"House","Hawaii","N/A","2000","District 2","2","19920101","65,906","Francis, Russ","Challenger","112,856","Mink, Patsy T.","Incumbent","N/A","N/A","N/A","N/A","4,468","46,950","D",".00","36.87","63.13",""
"House","Hawaii","N/A","1998","District 2","2","19920101","50,423","Douglass, Carol J.","Challenger","144,254","Mink, Patsy T.","Incumbent","N/A","N/A","N/A","N/A","13,194","93,831","D",".00","25.90","74.10",""
"House","Hawaii","N/A","1996","District 2","2","19920101","55,729","Pico, Tom Jr.","Challenger","109,178","Mink, Patsy T.","Incumbent","N/A","N/A","N/A","N/A","16,056","53,449","D",".00","33.79","66.21",""
"House","Hawaii","N/A","1994","District 2","2","19920101","42,891","Garner, Robert H.","Challenger","124,431","Mink, Patsy T.","Incumbent","N/A","N/A","N/A","N/A","10,074","81,540","D",".00","25.63","74.37",""
"House","Hawaii","N/A","1992","District 2","2","19920101","40,070","Price, Kamuela","Challenger","131,454","Mink, Patsy T.","Incumbent","N/A","N/A","N/A","N/A","9,431","91,384","D",".00","23.36","76.64",""
