GEO.id,state
05000US01001,"Autauga County, Alabama"
05000US01003,"Baldwin County, Alabama"
05000US01005,"Barbour County, Alabama"
05000US01007,"Bibb County, Alabama"
05000US01009,"Blount County, Alabama"
05000US01011,"Bullock County, Alabama"
05000US01013,"Butler County, Alabama"
05000US01015,"Calhoun County, Alabama"
05000US01017,"Chambers County, Alabama"
05000US01019,"Cherokee County, Alabama"
05000US01021,"Chilton County, Alabama"
05000US01023,"Choctaw County, Alabama"
05000US01025,"Clarke County, Alabama"
05000US01027,"Clay County, Alabama"
05000US01029,"Cleburne County, Alabama"
05000US01031,"Coffee County, Alabama"
05000US01033,"Colbert County, Alabama"
05000US01035,"Conecuh County, Alabama"
05000US01037,"Coosa County, Alabama"
05000US01039,"Covington County, Alabama"
05000US01041,"Crenshaw County, Alabama"
05000US01043,"Cullman County, Alabama"
05000US01045,"Dale County, Alabama"
05000US01047,"Dallas County, Alabama"
05000US01049,"DeKalb County, Alabama"
05000US01051,"Elmore County, Alabama"
05000US01053,"Escambia County, Alabama"
05000US01055,"Etowah County, Alabama"
05000US01057,"Fayette County, Alabama"
05000US01059,"Franklin County, Alabama"
05000US01061,"Geneva County, Alabama"
05000US01063,"Greene County, Alabama"
05000US01065,"Hale County, Alabama"
05000US01067,"Henry County, Alabama"
05000US01069,"Houston County, Alabama"
05000US01071,"Jackson County, Alabama"
05000US01073,"Jefferson County, Alabama"
05000US01075,"Lamar County, Alabama"
05000US01077,"Lauderdale County, Alabama"
05000US01079,"Lawrence County, Alabama"
05000US01081,"Lee County, Alabama"
05000US01083,"Limestone County, Alabama"
05000US01085,"Lowndes County, Alabama"
05000US01087,"Macon County, Alabama"
05000US01089,"Madison County, Alabama"
05000US01091,"Marengo County, Alabama"
05000US01093,"Marion County, Alabama"
05000US01095,"Marshall County, Alabama"
05000US01097,"Mobile County, Alabama"
05000US01099,"Monroe County, Alabama"
05000US01101,"Montgomery County, Alabama"
05000US01103,"Morgan County, Alabama"
05000US01105,"Perry County, Alabama"
05000US01107,"Pickens County, Alabama"
05000US01109,"Pike County, Alabama"
05000US01111,"Randolph County, Alabama"
05000US01113,"Russell County, Alabama"
05000US01115,"St. Clair County, Alabama"
05000US01117,"Shelby County, Alabama"
05000US01119,"Sumter County, Alabama"
05000US01121,"Talladega County, Alabama"
05000US01123,"Tallapoosa County, Alabama"
05000US01125,"Tuscaloosa County, Alabama"
05000US01127,"Walker County, Alabama"
05000US01129,"Washington County, Alabama"
05000US01131,"Wilcox County, Alabama"
05000US01133,"Winston County, Alabama"
05000US02013,"Aleutians East Borough, Alaska"
05000US02016,"Aleutians West Census Area, Alaska"
05000US02020,"Anchorage Municipality, Alaska"
05000US02050,"Bethel Census Area, Alaska"
05000US02060,"Bristol Bay Borough, Alaska"
05000US02068,"Denali Borough, Alaska"
05000US02070,"Dillingham Census Area, Alaska"
05000US02090,"Fairbanks North Star Borough, Alaska"
05000US02100,"Haines Borough, Alaska"
05000US02105,"Hoonah-Angoon Census Area, Alaska"
05000US02110,"Juneau City and Borough, Alaska"
05000US02122,"Kenai Peninsula Borough, Alaska"
05000US02130,"Ketchikan Gateway Borough, Alaska"
05000US02150,"Kodiak Island Borough, Alaska"
05000US02158,"Kusilvak Census Area, Alaska"
05000US02164,"Lake and Peninsula Borough, Alaska"
05000US02170,"Matanuska-Susitna Borough, Alaska"
05000US02180,"Nome Census Area, Alaska"
05000US02185,"North Slope Borough, Alaska"
05000US02188,"Northwest Arctic Borough, Alaska"
05000US02195,"Petersburg Borough, Alaska"
05000US02198,"Prince of Wales-Hyder Census Area, Alaska"
05000US02220,"Sitka City and Borough, Alaska"
05000US02230,"Skagway Municipality, Alaska"
05000US02240,"Southeast Fairbanks Census Area, Alaska"
05000US02261,"Valdez-Cordova Census Area, Alaska"
05000US02275,"Wrangell City and Borough, Alaska"
05000US02282,"Yakutat City and Borough, Alaska"
05000US02290,"Yukon-Koyukuk Census Area, Alaska"
05000US04001,"Apache County, Arizona"
05000US04003,"Cochise County, Arizona"
05000US04005,"Coconino County, Arizona"
05000US04007,"Gila County, Arizona"
05000US04009,"Graham County, Arizona"
05000US04011,"Greenlee County, Arizona"
05000US04012,"La Paz County, Arizona"
