office,state,date,county,rep_votes,rep_candidate,rep_status,dem_votes,dem_candidate,dem_status,third,third_votes,third_candidate,third_statust,other,plurality_votes,plurality_party,pct_third,pct_rep,pct_dem,year
Senate,Hawaii,19921103,HAWAII,"15,130","Reed, Rick",Challenger,"27,461","Inouye, Daniel K.",Incumbent,N/A,N/A,N/A,N/A,"7,640","12,331",D,0,35.52,64.48,1992
Senate,Hawaii,19921103,HONOLULU,"66,094","Reed, Rick",Challenger,"148,831","Inouye, Daniel K.",Incumbent,N/A,N/A,N/A,N/A,"43,482","82,737",D,0,30.75,69.25,1992
Senate,Hawaii,19921103,KAUAI,"4,058","Reed, Rick",Challenger,"13,213","Inouye, Daniel K.",Incumbent,N/A,N/A,N/A,N/A,"1,331","9,155",D,0,23.5,76.5,1992
Senate,Hawaii,19921103,MAUI,"12,646","Reed, Rick",Challenger,"18,761","Inouye, Daniel K.",Incumbent,N/A,N/A,N/A,N/A,"5,015","6,115",D,0,40.26,59.74,1992
Senate,Idaho,19921103,ADA,"67,517","Kempthorne, Dirk",Challenger,"42,875","Stallings, Richard",Challenger,N/A,N/A,N/A,N/A,N/A,"24,642",R,0,61.16,38.84,1992
Senate,Idaho,19921103,ADAMS,"1,272","Kempthorne, Dirk",Challenger,636,"Stallings, Richard",Challenger,N/A,N/A,N/A,N/A,N/A,636,R,0,66.67,33.33,1992
Senate,Idaho,19921103,BANNOCK,"14,465","Kempthorne, Dirk",Challenger,"17,953","Stallings, Richard",Challenger,N/A,N/A,N/A,N/A,N/A,"3,488",D,0,44.62,55.38,1992
Senate,Idaho,19921103,BEAR LAKE,"1,995","Kempthorne, Dirk",Challenger,862,"Stallings, Richard",Challenger,N/A,N/A,N/A,N/A,N/A,"1,133",R,0,69.83,30.17,1992
Senate,Idaho,19921103,BENEWAH,"1,789","Kempthorne, Dirk",Challenger,"1,762","Stallings, Richard",Challenger,N/A,N/A,N/A,N/A,N/A,27,R,0,50.38,49.62,1992
Senate,Idaho,19921103,BINGHAM,"8,408","Kempthorne, Dirk",Challenger,"7,652","Stallings, Richard",Challenger,N/A,N/A,N/A,N/A,N/A,756,R,0,52.35,47.65,1992
Senate,Idaho,19921103,BLAINE,"3,667","Kempthorne, Dirk",Challenger,"4,309","Stallings, Richard",Challenger,N/A,N/A,N/A,N/A,N/A,642,D,0,45.98,54.02,1992
Senate,Idaho,19921103,BOISE,"1,458","Kempthorne, Dirk",Challenger,820,"Stallings, Richard",Challenger,N/A,N/A,N/A,N/A,N/A,638,R,0,64,36,1992
Senate,Idaho,19921103,BONNER,"6,541","Kempthorne, Dirk",Challenger,"6,741","Stallings, Richard",Challenger,N/A,N/A,N/A,N/A,N/A,200,D,0,49.25,50.75,1992
Senate,Idaho,19921103,BONNEVILLE,"20,767","Kempthorne, Dirk",Challenger,"14,633","Stallings, Richard",Challenger,N/A,N/A,N/A,N/A,N/A,"6,134",R,0,58.66,41.34,1992
Senate,Idaho,19921103,BOUNDARY,"2,005","Kempthorne, Dirk",Challenger,"1,600","Stallings, Richard",Challenger,N/A,N/A,N/A,N/A,N/A,405,R,0,55.62,44.38,1992
Senate,Idaho,19921103,BUTTE,708,"Kempthorne, Dirk",Challenger,793,"Stallings, Richard",Challenger,N/A,N/A,N/A,N/A,N/A,85,D,0,47.17,52.83,1992
Senate,Idaho,19921103,CAMAS,250,"Kempthorne, Dirk",Challenger,232,"Stallings, Richard",Challenger,N/A,N/A,N/A,N/A,N/A,18,R,0,51.87,48.13,1992
