"Office","State","RaceDate","CensusPop","Area","AreaType","RepVotes","RepCandidate","RepStatus","DemVotes","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","OtherVotes","PluralityVotes","PluralityParty","ThirdVotesTotalPercent","RepVotesMajorPercent","DemVotesMajorPercent","RaceNotes","TitleNotes","OtherNotes"
"Senate","Idaho","19981103","N/A","ADA","County","60,833","Crapo, Michael D.","Challenger","29,543","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","1,700","31,290","R",".00","67.31","32.69","","",""
"Senate","Idaho","19981103","N/A","ADAMS","County","1,217","Crapo, Michael D.","Challenger","382","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","47","835","R",".00","76.11","23.89","","",""
"Senate","Idaho","19981103","N/A","BANNOCK","County","14,055","Crapo, Michael D.","Challenger","8,714","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","438","5,341","R",".00","61.73","38.27","","",""
"Senate","Idaho","19981103","N/A","BEAR LAKE","County","1,563","Crapo, Michael D.","Challenger","422","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","61","1,141","R",".00","78.74","21.26","","",""
"Senate","Idaho","19981103","N/A","BENEWAH","County","1,980","Crapo, Michael D.","Challenger","778","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","78","1,202","R",".00","71.79","28.21","","",""
"Senate","Idaho","19981103","N/A","BINGHAM","County","8,741","Crapo, Michael D.","Challenger","2,674","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","192","6,067","R",".00","76.57","23.43","","",""
"Senate","Idaho","19981103","N/A","BLAINE","County","2,667","Crapo, Michael D.","Challenger","2,645","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","126","22","R",".00","50.21","49.79","","",""
"Senate","Idaho","19981103","N/A","BOISE","County","1,561","Crapo, Michael D.","Challenger","635","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","80","926","R",".00","71.08","28.92","","",""
"Senate","Idaho","19981103","N/A","BONNER","County","7,038","Crapo, Michael D.","Challenger","3,557","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","374","3,481","R",".00","66.43","33.57","","",""
"Senate","Idaho","19981103","N/A","BONNEVILLE","County","20,011","Crapo, Michael D.","Challenger","5,025","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","372","14,986","R",".00","79.93","20.07","","",""
"Senate","Idaho","19981103","N/A","BOUNDARY","County","2,063","Crapo, Michael D.","Challenger","804","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","109","1,259","R",".00","71.96","28.04","","",""
"Senate","Idaho","19981103","N/A","BUTTE","County","808","Crapo, Michael D.","Challenger","344","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","30","464","R",".00","70.14","29.86","","",""
"Senate","Idaho","19981103","N/A","CAMAS","County","325","Crapo, Michael D.","Challenger","102","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","19","223","R",".00","76.11","23.89","","",""
"Senate","Idaho","19981103","N/A","CANYON","County","23,531","Crapo, Michael D.","Challenger","8,403","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","662","15,128","R",".00","73.69","26.31","","",""
"Senate","Idaho","19981103","N/A","CARIBOU","County","1,924","Crapo, Michael D.","Challenger","361","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","52","1,563","R",".00","84.20","15.80","","",""
"Senate","Idaho","19981103","N/A","CASSIA","County","4,798","Crapo, Michael D.","Challenger","911","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","111","3,887","R",".00","84.04","15.96","","",""
"Senate","Idaho","19981103","N/A","CLARK","County","312","Crapo, Michael D.","Challenger","70","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","9","242","R",".00","81.68","18.32","","",""
"Senate","Idaho","19981103","N/A","CLEARWATER","County","1,898","Crapo, Michael D.","Challenger","1,069","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","70","829","R",".00","63.97","36.03","","",""
"Senate","Idaho","19981103","N/A","CUSTER","County","1,200","Crapo, Michael D.","Challenger","393","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","38","807","R",".00","75.33","24.67","","",""
"Senate","Idaho","19981103","N/A","ELMORE","County","3,746","Crapo, Michael D.","Challenger","1,262","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","107","2,484","R",".00","74.80","25.20","","",""
"Senate","Idaho","19981103","N/A","FRANKLIN","County","2,805","Crapo, Michael D.","Challenger","383","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","67","2,422","R",".00","87.99","12.01","","",""
"Senate","Idaho","19981103","N/A","FREMONT","County","3,315","Crapo, Michael D.","Challenger","566","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","75","2,749","R",".00","85.42","14.58","","",""
"Senate","Idaho","19981103","N/A","GEM","County","3,438","Crapo, Michael D.","Challenger","1,280","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","121","2,158","R",".00","72.87","27.13","","",""
"Senate","Idaho","19981103","N/A","GOODING","County","2,953","Crapo, Michael D.","Challenger","969","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","92","1,984","R",".00","75.29","24.71","","",""
"Senate","Idaho","19981103","N/A","IDAHO","County","4,223","Crapo, Michael D.","Challenger","1,249","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","135","2,974","R",".00","77.17","22.83","","",""
"Senate","Idaho","19981103","N/A","JEFFERSON","County","5,039","Crapo, Michael D.","Challenger","893","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","100","4,146","R",".00","84.95","15.05","","",""
"Senate","Idaho","19981103","N/A","JEROME","County","3,673","Crapo, Michael D.","Challenger","940","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","96","2,733","R",".00","79.62","20.38","","",""
"Senate","Idaho","19981103","N/A","KOOTENAI","County","20,000","Crapo, Michael D.","Challenger","8,649","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","713","11,351","R",".00","69.81","30.19","","",""
"Senate","Idaho","19981103","N/A","LATAH","County","6,538","Crapo, Michael D.","Challenger","5,076","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","283","1,462","R",".00","56.29","43.71","","",""
"Senate","Idaho","19981103","N/A","LEMHI","County","2,668","Crapo, Michael D.","Challenger","634","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","85","2,034","R",".00","80.80","19.20","","",""
"Senate","Idaho","19981103","N/A","LEWIS","County","901","Crapo, Michael D.","Challenger","397","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","35","504","R",".00","69.41","30.59","","",""
"Senate","Idaho","19981103","N/A","LINCOLN","County","859","Crapo, Michael D.","Challenger","325","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","29","534","R",".00","72.55","27.45","","",""
"Senate","Idaho","19981103","N/A","MADISON","County","5,855","Crapo, Michael D.","Challenger","549","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","64","5,306","R",".00","91.43","8.57","","",""
"Senate","Idaho","19981103","N/A","MINIDOKA","County","4,146","Crapo, Michael D.","Challenger","1,088","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","118","3,058","R",".00","79.21","20.79","","",""
"Senate","Idaho","19981103","N/A","NEZ PERCE","County","7,630","Crapo, Michael D.","Challenger","4,996","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","261","2,634","R",".00","60.43","39.57","","",""
"Senate","Idaho","19981103","N/A","ONEIDA","County","965","Crapo, Michael D.","Challenger","243","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","26","722","R",".00","79.88","20.12","","",""
"Senate","Idaho","19981103","N/A","OWYHEE","County","2,004","Crapo, Michael D.","Challenger","560","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","39","1,444","R",".00","78.16","21.84","","",""
"Senate","Idaho","19981103","N/A","PAYETTE","County","3,822","Crapo, Michael D.","Challenger","1,321","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","104","2,501","R",".00","74.31","25.69","","",""
"Senate","Idaho","19981103","N/A","POWER","County","1,484","Crapo, Michael D.","Challenger","670","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","27","814","R",".00","68.90","31.10","","",""
"Senate","Idaho","19981103","N/A","SHOSHONE","County","2,080","Crapo, Michael D.","Challenger","1,745","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","128","335","R",".00","54.38","45.62","","",""
"Senate","Idaho","19981103","N/A","TETON","County","1,242","Crapo, Michael D.","Challenger","493","Mauk, Bill","Challenger","N/A","N/A","N/A","N/A","45","749","R",".00","71.59","28.41","","",""
